districts,statecode,vaccinated1,vaccinated2,confirmed,deceased,recovered,tested,other
Nicobars,AN,25394,20313,0,0,0,0,0
North and Middle Andaman,AN,78945,59522,0,0,0,0,0
South Andaman,AN,189662,120322,0,0,0,0,0
Unknown,AN,0,0,7651,129,7518,0,0
Anantapur,AP,2690082,1611476,157843,1093,156699,787085,0
Chittoor,AP,2832987,1807873,246935,1947,244144,780322,0
East Godavari,AP,3532220,1990578,293836,1290,291610,944746,0
Foreign Evacuees,AP,0,0,434,0,434,0,0
Guntur,AP,3440118,1891773,178068,1237,176629,833823,0
Krishna,AP,2971604,1914927,119348,1430,117130,782232,0
Kurnool,AP,2672759,1290419,124142,853,123264,867361,0
Other State,AP,0,0,2461,0,2461,0,0
Prakasam,AP,2321031,1521177,138482,1124,136989,697340,0
S.P.S. Nellore,AP,2143402,1403240,146388,1053,144919,682964,0
Srikakulam,AP,1630248,974734,123109,786,122136,670899,0
Visakhapatnam,AP,2999432,1864960,157737,1127,156492,744983,0
Vizianagaram,AP,1393491,996097,82967,672,82231,531433,0
West Godavari,AP,2525317,1778807,179077,1117,177680,793098,0
Y.S.R. Kadapa,AP,1824032,1328711,115623,644,114904,671761,0
Anjaw,AR,11695,7957,1068,3,1065,2845,0
Capital Complex,AR,0,0,0,0,0,115210,0
Changlang,AR,88857,55361,3807,22,3780,23861,0
East Kameng,AR,22931,15646,1094,0,1094,7489,0
East Siang,AR,54001,39434,3206,17,3183,21867,0
Kamle,AR,6946,3874,512,0,512,1385,0
Kra Daadi,AR,6275,3272,270,0,270,3218,0
Kurung Kumey,AR,9121,5601,511,1,510,4201,0
Lepa Rada,AR,13328,10176,874,3,871,6747,0
Lohit,AR,31120,22003,2885,26,2851,14945,0
Longding,AR,19259,7826,752,2,749,10342,0
Lower Dibang Valley,AR,32639,22089,2426,11,2397,12169,0
Lower Siang,AR,16565,9990,738,8,730,7070,0
Lower Subansiri,AR,26916,18827,3036,15,3015,10564,0
Namsai,AR,63539,47104,2124,17,2102,19987,0
Pakke Kessang,AR,8004,4998,453,0,453,3327,0
Papum Pare,AR,141168,100258,18316,98,18212,41960,0
Shi Yomi,AR,6910,5663,262,0,261,2169,0
Siang,AR,14408,9068,411,3,408,4270,0
Tawang,AR,29553,23287,2577,20,2533,14224,0
Tirap,AR,31565,21200,1109,5,1102,14657,0
Upper Dibang Valley,AR,4156,2603,337,2,335,1910,0
Upper Siang,AR,18594,13671,1016,1,1015,6564,0
Upper Subansiri,AR,24842,16390,1958,6,1952,6217,0
West Kameng,AR,55710,40321,3545,14,3518,28155,0
West Siang,AR,33773,27867,1868,6,1856,13192,0
Baksa,AS,553967,136574,0,0,0,0,0
Barpeta,AS,1095048,448006,0,0,0,0,0
Biswanath,AS,456088,213437,0,0,0,0,0
Bongaigaon,AS,493242,183782,0,0,0,0,0
Cachar,AS,1101266,402535,0,0,0,0,0
Charaideo,AS,309125,111219,0,0,0,0,0
Chirang,AS,288696,102397,0,0,0,0,0
Darrang,AS,596783,183724,0,0,0,0,0
Dhemaji,AS,431792,184251,0,0,0,0,0
Dhubri,AS,945264,229696,0,0,0,0,0
Dibrugarh,AS,914640,430800,0,0,0,301657,0
Dima Hasao,AS,116318,62593,0,0,0,0,0
Goalpara,AS,662016,195521,0,0,0,0,0
Golaghat,AS,711564,306745,0,0,0,0,0
Hailakandi,AS,422295,146888,0,0,0,0,0
Hojai,AS,602504,274035,0,0,0,0,0
Jorhat,AS,649267,297724,0,0,0,0,0
Kamrup,AS,1079092,409628,0,0,0,0,0
Kamrup Metropolitan,AS,1246239,875897,0,0,0,0,0
Karbi Anglong,AS,284600,102798,0,0,0,0,0
Karimganj,AS,681216,203575,0,0,0,0,0
Kokrajhar,AS,538901,156488,0,0,0,0,0
Lakhimpur,AS,681386,301369,0,0,0,0,0
Majuli,AS,117599,82507,0,0,0,0,0
Morigaon,AS,592446,212146,0,0,0,0,0
Nagaon,AS,1203831,448081,0,0,0,0,0
Nalbari,AS,483076,168392,0,0,0,0,0
Sivasagar,AS,478954,223921,0,0,0,0,0
Sonitpur,AS,767841,434213,0,0,0,0,0
South Salmara Mankachar,AS,239906,76599,0,0,0,0,0
Tinsukia,AS,795057,286170,0,0,0,0,0
Udalguri,AS,504439,133919,0,0,0,24661,0
Unknown,AS,0,0,610645,5997,600974,0,1347
West Karbi Anglong,AS,127612,42942,0,0,0,0,0
Araria,BR,1177154,395227,14978,116,14859,219221,0
Arwal,BR,345175,116424,7381,74,7307,101624,0
Aurangabad,BR,1132482,407913,20011,75,19936,412007,0
Banka,BR,935177,351254,7379,112,7267,364776,0
Begusarai,BR,1430906,480982,27212,457,26754,213670,0
Bhagalpur,BR,1494951,650332,25840,309,25531,582113,0
Bhojpur,BR,1291186,382719,10210,159,10051,466438,0
Buxar,BR,907374,322555,9248,182,9066,461428,0
Darbhanga,BR,1869372,741553,10937,370,10567,448442,0
East Champaran,BR,2498559,1002939,19017,430,18585,548132,0
Gaya,BR,1925234,722746,33952,280,33672,872359,0
Gopalganj,BR,1286763,481968,16685,94,16591,562654,0
Jamui,BR,800488,222093,9418,106,9312,342005,0
Jehanabad,BR,498448,184446,10783,109,10674,492255,0
Kaimur,BR,801438,225437,4984,147,4837,442332,0
Katihar,BR,1451838,403046,18145,94,18051,556438,0
Khagaria,BR,775019,222012,10064,88,9976,148340,0
Kishanganj,BR,757066,205274,10128,66,10057,294321,0
Lakhisarai,BR,461970,138407,7776,102,7674,332434,0
Madhepura,BR,965767,260408,12547,111,12435,455482,0
Madhubani,BR,1974159,680214,18365,339,18023,715168,0
Munger,BR,707588,264665,15111,158,14953,325212,0
Muzaffarpur,BR,2253919,717015,31398,621,30777,722651,0
Nalanda,BR,1393762,638181,23432,468,22964,591346,0
Nawada,BR,1062349,274319,10353,178,10174,322514,0
Patna,BR,3421614,2366474,147007,2334,144651,676238,0
Purnia,BR,1603099,729224,24427,180,24247,568756,0
Rohtas,BR,1498172,465660,13980,271,13707,521553,0
Saharsa,BR,995618,366567,17616,134,17482,356327,0
Samastipur,BR,1991102,555728,20020,155,19864,614569,0
Saran,BR,1868014,736766,23278,255,23020,761473,0
Sheikhpura,BR,287209,95322,7693,75,7618,142348,0
Sheohar,BR,300967,108766,4404,36,4368,199431,0
Sitamarhi,BR,1511464,424182,9185,127,9058,453227,0
Siwan,BR,1670590,684755,15195,170,15025,536438,0
Supaul,BR,1069993,369925,17222,129,17093,456511,0
Vaishali,BR,1671469,478638,19827,192,19632,275884,1
West Champaran,BR,1784016,469332,20890,358,20532,551778,0
Chandigarh,CH,926035,546981,65351,820,64495,792851,0
Balod,CT,537459,271570,27278,396,26880,2749,0
Baloda Bazar,CT,617777,211945,43085,471,42611,3816,0
Balrampur,CT,305554,112777,20302,118,20182,21481,0
Bametara,CT,405388,132925,19963,236,19726,3113,0
Bastar,CT,443759,178775,21066,188,20845,4522,0
Bijapur,CT,103247,44245,8324,55,8263,1239,0
Bilaspur,CT,1031494,525066,65681,1210,64448,9823,0
Dakshin Bastar Dantewada,CT,158243,80855,10840,25,10809,1168,0
Dhamtari,CT,509782,224591,27239,545,26690,1501,0
Durg,CT,1012391,525445,96880,1798,95028,5020,0
Gariaband,CT,293987,99137,19701,194,19506,2096,0
Gaurela Pendra Marwahi,CT,189474,79788,12011,146,11864,273,0
Janjgir Champa,CT,896087,317605,57636,838,56766,4016,0
Jashpur,CT,435884,182747,27093,212,26867,2542,0
Kabeerdham,CT,402362,173494,22771,267,22503,2829,0
Kondagaon,CT,317695,100468,13139,99,13036,1607,0
Korba,CT,650457,287588,54847,580,54228,10034,0
Koriya,CT,375503,128177,26980,177,26798,2689,0
Mahasamund,CT,738333,428365,31365,365,31000,2183,0
Mungeli,CT,282508,109857,23921,167,23753,2922,0
Narayanpur,CT,53032,19468,4019,14,4005,804,0
Other State,CT,0,0,805,131,666,0,0
Raigarh,CT,1074306,967326,62590,978,61597,5084,0
Raipur,CT,1557999,915437,158035,3139,154852,12704,0
Rajnandgaon,CT,1028876,530711,56077,515,55557,124947,0
Sukma,CT,134654,81437,8066,20,8041,1723,0
Surajpur,CT,419247,163526,29029,224,28805,1830,0
Surguja,CT,468885,277031,33673,245,33426,103578,0
Uttar Bastar Kanker,CT,405744,171484,23636,224,23407,2051,0
Delhi,DL,13055636,7425404,1439870,25091,1414431,29427753,0
Dadra and Nagar Haveli,DN,387772,183553,5920,3,5910,44813,5
Daman,DN,234202,155547,3543,1,3516,19338,26
Diu,DN,38779,31153,1218,0,1218,8259,0
North Goa,GA,600586,424066,0,0,0,0,0
South Goa,GA,661972,487016,0,0,0,0,0
Unknown,GA,0,0,178108,3364,174392,0,0
Ahmedabad,GJ,5961594,3439921,238334,3411,234889,2556492,0
Amreli,GJ,927389,551970,10810,102,10708,212265,0
Anand,GJ,1471865,935893,9637,49,9581,171851,0
Aravalli,GJ,717964,522361,5186,78,5108,122182,0
Banaskantha,GJ,2140492,1157901,13631,162,13469,218527,0
Bharuch,GJ,1217587,669742,11426,118,11308,156057,0
Bhavnagar,GJ,1680398,986097,21447,301,21143,392834,0
Botad,GJ,378232,228691,2218,42,2176,98559,0
Chhota Udaipur,GJ,635695,420157,3395,38,3357,93838,0
Dahod,GJ,1499052,631818,9955,38,9917,218259,0
Dang,GJ,156334,59262,866,18,848,31921,0
Devbhumi Dwarka,GJ,504501,309771,4175,82,4093,80424,0
Gandhinagar,GJ,1175562,706208,20754,205,20549,292598,0
Gir Somnath,GJ,845224,363467,8570,67,8499,121948,0
Jamnagar,GJ,1111813,653950,34978,478,34494,307911,0
Junagadh,GJ,1316479,733025,20505,272,20226,199699,0
Kheda,GJ,1454344,893742,10439,48,10391,218140,0
Kutch,GJ,1412923,680232,12631,145,12474,267060,0
Mahisagar,GJ,815594,459520,8194,72,8122,122796,0
Mehsana,GJ,1405786,869969,24419,177,24242,229904,0
Morbi,GJ,674000,308840,6502,87,6415,157321,0
Narmada,GJ,413260,279684,5955,15,5940,76134,0
Navsari,GJ,948673,647484,7215,24,7181,129099,0
Other State,GJ,0,0,162,3,159,108,0
Panchmahal,GJ,1105110,626003,11770,70,11700,160981,0
Patan,GJ,850462,533438,11624,129,11495,169059,0
Porbandar,GJ,419364,256377,3486,19,3467,97912,0
Rajkot,GJ,2227111,1255012,57976,725,57243,731251,0
Sabarkantha,GJ,1000517,596705,9317,157,9159,182090,0
Surat,GJ,4781894,2529712,143874,1956,141885,1938229,0
Surendranagar,GJ,1113845,715931,8121,136,7985,201153,0
Tapi,GJ,527345,303297,4441,24,4417,92524,0
Vadodara,GJ,2612578,1940514,78159,788,77335,695670,0
Valsad,GJ,1232139,704675,6405,53,6308,155380,0
Bilaspur,HP,323204,234916,14374,85,14120,39738,1
Chamba,HP,364258,198146,13687,160,13492,53505,2
Hamirpur,HP,377332,269143,17379,287,16741,46407,1
Kangra,HP,1182563,725754,50818,1125,48872,94910,4
Kinnaur,HP,79673,63209,3507,38,3465,6730,0
Kullu,HP,351261,203549,9692,158,9496,12012,2
Lahaul and Spiti,HP,31920,20986,2953,18,2935,540,0
Mandi,HP,775242,479355,31606,448,30983,41895,0
Shimla,HP,678341,412640,27549,641,26786,32922,1
Sirmaur,HP,423793,209631,15456,211,15244,42564,0
Solan,HP,691163,339630,22817,314,22472,57200,0
Una,HP,434945,286819,14268,253,13804,52905,2
Ambala,HR,873020,571772,30150,509,29639,206003,0
Bhiwani,HR,741251,317765,22409,652,21757,176225,0
Charkhi Dadri,HR,364599,262184,5078,139,4939,58525,0
Faridabad,HR,1658940,840997,99902,716,99157,504970,0
Fatehabad,HR,574546,201763,17875,481,17394,27456,0
Gurugram,HR,2193114,1377160,181428,922,180454,742619,0
Hisar,HR,994213,332162,53995,1136,52857,322039,0
Jhajjar,HR,684511,293496,18849,328,18514,186853,0
Jind,HR,704573,250859,21209,533,20675,11157,0
Kaithal,HR,615168,217439,11244,346,10898,11687,0
Karnal,HR,1000120,451876,40037,552,39484,185147,0
Kurukshetra,HR,610380,248125,22147,357,21789,198881,0
Mahendragarh,HR,576527,264911,21689,155,21534,143253,0
Nuh,HR,354422,78081,5014,123,4890,93389,0
Palwal,HR,608874,221786,11025,153,10872,139809,0
Panchkula,HR,456675,279951,30770,378,30379,118725,0
Panipat,HR,830805,273172,31150,638,30510,58863,0
Rewari,HR,648724,294989,20327,221,20106,151363,0
Rohtak,HR,674649,305282,25903,534,25350,25894,0
Sirsa,HR,786205,278920,29282,508,28771,150193,0
Sonipat,HR,989125,411915,47138,254,46884,238963,0
Yamunanagar,HR,831598,340196,24631,414,24215,196131,0
Bokaro,JH,994497,333330,19461,286,19170,11798,0
Chatra,JH,454807,126700,6033,53,5977,0,0
Deoghar,JH,569167,230458,10835,113,10721,6951,0
Dhanbad,JH,1185934,446946,16589,382,16196,0,0
Dumka,JH,638722,229944,4636,47,4589,5400,0
East Singhbhum,JH,1424376,661091,51974,1046,50907,0,0
Garhwa,JH,456056,148421,6895,94,6801,0,0
Giridih,JH,994417,301193,8964,130,8834,11132,0
Godda,JH,527710,198198,5840,87,5753,10980,0
Gumla,JH,387738,156364,9900,38,9857,0,0
Hazaribagh,JH,865943,317137,19593,186,19404,0,0
Jamtara,JH,381155,137216,5599,61,5534,2880,0
Khunti,JH,227503,107053,7820,96,7724,3852,0
Koderma,JH,363078,140609,12872,136,12736,0,0
Latehar,JH,294989,84919,7871,57,7814,0,0
Lohardaga,JH,173109,63130,6709,88,6621,7526,0
Pakur,JH,378048,108941,2552,12,2539,6429,0
Palamu,JH,788026,311074,12294,110,12184,0,0
Ramgarh,JH,522017,185442,13923,197,13714,0,0
Ranchi,JH,1512114,656001,86116,1585,84495,0,0
Sahibganj,JH,430948,132560,4834,42,4792,5029,0
Saraikela-Kharsawan,JH,505417,167980,7207,67,7137,161796,0
Simdega,JH,277357,112059,7193,92,7101,0,0
West Singhbhum,JH,630437,225607,13054,133,12918,0,0
Anantnag,JK,759605,402717,16603,205,16378,0,0
Bandipora,JK,303665,154345,9814,102,9693,0,0
Baramulla,JK,776258,450002,24613,282,24196,0,0
Budgam,JK,592075,319587,23844,207,23548,0,0
Doda,JK,313983,158751,7869,133,7704,0,0
Ganderbal,JK,227349,133812,10436,79,10313,0,0
Jammu,JK,1168448,610537,53324,1145,52145,0,0
Kathua,JK,482584,249588,9327,152,9175,0,0
Kishtwar,JK,164754,78041,4819,44,4773,0,0
Kulgam,JK,401091,202260,11489,117,11367,0,0
Kupwara,JK,673594,348327,14463,166,14268,0,0
Pulwama,JK,430622,244300,15512,194,15309,139552,0
Punch,JK,386098,234540,6482,98,6371,0,0
Rajouri,JK,498787,241407,11272,237,11031,0,0
Ramban,JK,220690,147086,6043,67,5971,0,0
Reasi,JK,244379,133971,6626,43,6575,0,0
Samba,JK,280700,122554,7152,120,7032,0,0
Shopiyan,JK,203036,95122,5607,58,5549,0,0
Srinagar,JK,957347,592016,75539,846,74242,0,0
Udhampur,JK,425945,227785,11415,137,11275,0,0
Bagalkote,KA,1188016,613422,35178,333,34843,49851,0
Ballari,KA,1758198,864065,97763,1689,95961,402407,0
Belagavi,KA,3165252,1386668,79900,938,78879,396565,0
Bengaluru Rural,KA,700825,385704,62005,890,61073,240277,0
Bengaluru Urban,KA,9219875,5903791,1251872,16281,1229059,6883888,1
Bidar,KA,929776,515993,24340,400,23936,67689,4
Chamarajanagara,KA,647951,351940,33001,500,32469,5156,11
Chikkaballapura,KA,852473,497674,43951,429,43501,15089,1
Chikkamagaluru,KA,737417,346002,51126,395,50662,5467,0
Chitradurga,KA,1020280,618156,36666,206,36412,4393,0
Dakshina Kannada,KA,1531107,848253,115478,1680,113515,131281,7
Davanagere,KA,1016827,495371,50989,608,50359,17483,0
Dharwad,KA,1212295,561504,60970,1315,59639,137696,2
Gadag,KA,691646,328477,26066,319,25747,8904,0
Hassan,KA,1224599,614828,111785,1256,110294,10800,2
Haveri,KA,999178,383705,21947,644,21301,11714,0
Kalaburagi,KA,1323039,641641,61926,819,61087,409596,0
Kodagu,KA,385482,212033,37095,329,36616,143982,1
Kolar,KA,991957,625918,46916,638,46266,91924,0
Koppal,KA,814373,411092,35198,521,34660,8708,0
Mandya,KA,1189318,659066,73753,650,73029,14874,0
Mysuru,KA,2141764,1239770,179167,2416,176447,107338,0
Other State,KA,0,0,36,3,33,0,0
Raichur,KA,1021603,448501,39973,331,39641,21011,0
Ramanagara,KA,754463,469335,24204,320,23869,103399,0
Shivamogga,KA,1162073,535447,69444,1088,68239,48760,0
Tumakuru,KA,1672730,881580,120836,1127,119420,106564,0
Udupi,KA,919074,529427,76718,489,76181,86092,0
Uttara Kannada,KA,980496,505589,56218,766,55339,13833,0
Vijayapura,KA,1535235,634270,36267,495,35764,25108,0
Yadgir,KA,708887,348094,27545,207,27337,221485,0
Alappuzha,KL,1518055,855411,316160,1862,313515,0,40
Ernakulam,KL,2953482,1759232,602800,3555,583842,0,70
Idukki,KL,859116,481911,147118,519,140292,237691,9
Kannur,KL,1891004,959656,275264,2325,269475,392136,53
Kasaragod,KL,910194,521754,138815,617,134824,0,17
Kollam,KL,1951077,1047951,390872,2451,383923,0,57
Kottayam,KL,1477425,841596,322484,1356,315759,0,18
Kozhikode,KL,2341296,1154561,527346,3374,519030,955060,44
Malappuram,KL,2833303,1103557,567584,2576,562111,469850,32
Palakkad,KL,1989222,950909,373839,2881,364351,226562,24
Pathanamthitta,KL,1048352,677224,193406,1076,184979,306034,11
Thiruvananthapuram,KL,2578575,1562343,463977,4996,448304,436661,114
Thrissur,KL,2295947,1305873,523260,3575,515481,639055,26
Wayanad,KL,659451,436359,125732,518,121295,211953,14
Kargil,LA,87221,64300,3619,58,3556,37471,0
Leh,LA,121577,87980,17343,150,17131,72597,0
Lakshadweep,LD,55129,45951,10365,51,10270,263541,44
Ahmednagar,MH,2468837,881402,339457,7043,330122,11077,1
Akola,MH,760099,357931,58764,1425,57318,0,4
Amravati,MH,1241168,548807,96231,1594,94618,0,2
Aurangabad,MH,1772420,723304,155331,4251,150615,11800,14
Beed,MH,1145382,485615,103749,2806,100803,111488,7
Bhandara,MH,825867,421585,60080,1123,58945,54195,10
Buldhana,MH,1136679,512944,85520,797,84710,115874,6
Chandrapur,MH,1335017,458690,88968,1560,87387,199809,4
Dhule,MH,1007007,476051,46172,654,45501,90092,11
Gadchiroli,MH,540319,231208,30440,669,29735,11993,33
Gondia,MH,888961,469980,40519,569,39941,130146,7
Hingoli,MH,537442,201000,18475,506,17949,6797,1
Jalgaon,MH,2085101,699544,139934,2714,137178,429198,32
Jalna,MH,1081253,413822,60615,1209,59382,117047,1
Kolhapur,MH,2536731,1043329,206671,5847,200699,0,5
Latur,MH,1182476,507616,92133,2437,89608,0,6
Mumbai,MH,9115615,5564204,756749,16247,733318,2789713,2512
Nagpur,MH,3006439,1460890,493607,9128,484334,382083,71
Nanded,MH,1560558,560812,90409,2658,87721,117319,6
Nandurbar,MH,723850,342054,40006,948,39054,37740,3
Nashik,MH,3471046,1299122,410681,8679,401418,498397,1
Osmanabad,MH,803192,308210,67828,1963,65577,109450,114
Other State,MH,0,0,144,111,31,0,2
Palghar,MH,1869199,678741,138013,3282,134309,319724,14
Parbhani,MH,905874,378183,52362,1233,51078,110937,19
Pune,MH,7843130,4264808,1154776,19594,1131401,97127,349
Raigad,MH,1859507,774913,195958,4551,190759,304088,7
Ratnagiri,MH,920151,388703,78950,2478,76292,0,5
Sangli,MH,1810980,802877,209771,5613,203673,0,9
Satara,MH,1963730,865197,250414,6428,243482,312742,31
Sindhudurg,MH,524896,279051,52783,1434,50987,0,15
Solapur,MH,2242339,690069,210466,5551,204364,629266,110
Thane,MH,5484839,2751182,610128,11462,597141,1229625,35
Wardha,MH,755863,314899,57344,1217,55956,52365,165
Washim,MH,579042,321710,41663,637,41020,0,3
Yavatmal,MH,1211321,496306,75967,1798,74159,141551,4
East Garo Hills,ML,47655,20648,1867,13,1844,0,0
East Jaintia Hills,ML,64432,33259,2430,31,2395,0,0
East Khasi Hills,ML,318381,225526,41025,987,39754,0,0
North Garo Hills,ML,62675,28288,1685,8,1674,0,0
Ribhoi,ML,92049,48460,9697,89,9584,0,0
South Garo Hills,ML,40103,18937,1216,12,1203,0,0
South West Garo Hills,ML,73397,39210,1872,17,1852,0,0
South West Khasi Hills,ML,33372,17117,2548,17,2525,0,0
West Garo Hills,ML,209662,119725,9027,72,8943,0,0
West Jaintia Hills,ML,84529,47646,6803,133,6642,0,0
West Khasi Hills,ML,77018,43000,5457,71,5330,0,0
Bishnupur,MN,128902,64791,0,0,0,0,0
Chandel,MN,26634,15197,0,0,0,0,0
Churachandpur,MN,104247,62208,0,0,0,13542,0
Imphal East,MN,251626,148953,0,0,0,0,0
Imphal West,MN,308782,199404,0,0,0,0,0
Jiribam,MN,27911,17262,0,0,0,0,0
Kakching,MN,84702,49653,0,0,0,0,0
Kamjong,MN,10502,5370,0,0,0,0,0
Kangpokpi,MN,39027,19015,0,0,0,0,0
Noney,MN,16798,9819,0,0,0,0,0
Pherzawl,MN,12417,9888,0,0,0,0,0
