districts,statecode,vaccinated1,vaccinated2,confirmed,deceased,recovered,tested,other
Senapati,MN,28247,18288,0,0,0,0,0
Tamenglong,MN,19931,10361,0,0,0,0,0
Tengnoupal,MN,26209,12163,0,0,0,0,0
Thoubal,MN,141308,62279,0,0,0,0,0
Ukhrul,MN,22193,14759,0,0,0,0,0
Unknown,MN,0,0,123731,1921,121102,0,0
Agar Malwa,MP,424846,128822,3303,68,3235,0,0
Alirajpur,MP,369571,114601,3505,48,3453,0,0
Anuppur,MP,481238,164712,9238,89,9140,3424,0
Ashoknagar,MP,550087,186066,3670,57,3613,55792,0
Balaghat,MP,1278183,549643,9100,64,9017,9654,0
Barwani,MP,788872,225336,8366,90,8267,41588,0
Betul,MP,1042931,343674,12905,277,12590,68036,0
Bhind,MP,1034374,351065,2995,32,2960,44395,0
Bhopal,MP,2012966,1168682,123552,972,122121,245166,0
Burhanpur,MP,493618,220909,2568,39,2529,13040,0
Chhatarpur,MP,1093616,336309,7609,91,7506,50518,0
Chhindwara,MP,1624355,591843,6734,120,6612,79090,0
Damoh,MP,844557,326505,8120,186,7841,16564,0
Datia,MP,560238,296233,6959,78,6874,40322,0
Dewas,MP,1005266,477219,7723,51,7672,96155,0
Dhar,MP,1371226,536214,12572,130,12388,62597,0
Dindori,MP,481366,186341,4623,29,4588,3557,0
Guna,MP,821399,284155,5132,44,5085,40229,0
Gwalior,MP,1452149,730150,53106,633,52427,206696,0
Harda,MP,394641,159293,5055,96,4954,36708,0
Hoshangabad,MP,865566,369945,10688,99,10570,46294,0
Indore,MP,2951024,1728945,153230,1391,151410,780266,0
Jabalpur,MP,1957070,1099359,50779,670,49896,293923,0
Jhabua,MP,607542,185320,7691,64,7619,52146,0
Katni,MP,865274,306259,9366,120,9242,56828,0
Khandwa,MP,862885,310248,4044,94,3946,17090,0
Khargone,MP,1147444,411114,13970,239,13716,38413,0
Mandla,MP,684882,246724,5188,25,5159,0,0
Mandsaur,MP,948065,330902,8637,84,8552,52733,0
Morena,MP,1295658,582833,8236,95,8135,90967,0
Narsinghpur,MP,803225,318284,11209,81,11115,90600,0
Neemuch,MP,579489,229183,7926,84,7828,57292,0
Niwari,MP,0,0,3715,48,3654,22574,0
Panna,MP,600823,168120,7331,63,7250,0,0
Raigarh,MP,0,0,1,0,0,0,0
Raisen,MP,885585,333022,9238,194,9030,44343,0
Rajgarh,MP,1025584,450099,8729,172,8490,46604,0
Ratlam,MP,1026416,457972,17860,385,17438,51736,0
Rewa,MP,1639826,674779,16433,155,16270,22690,0
Sagar,MP,1563245,760746,16622,390,16154,64801,0
Satna,MP,1532585,481540,11965,133,11829,28159,0
Sehore,MP,909045,396375,10136,73,10057,45061,0
Seoni,MP,945564,341871,6775,28,6739,15024,0
Shahdol,MP,723227,337272,10085,118,9958,18177,0
Shajapur,MP,620316,278912,6349,74,6273,56805,0
Sheopur,MP,413195,140296,4000,78,3919,31449,0
Shivpuri,MP,1109976,391707,12398,125,12261,47270,0
Sidhi,MP,679862,226632,9219,87,9132,4660,0
Singrauli,MP,740335,224966,8801,82,8706,0,0
Tikamgarh,MP,919592,293885,6863,114,6742,43011,0
Ujjain,MP,1452247,836514,18903,172,18720,31631,0
Umaria,MP,455492,196492,6294,63,6224,54811,0
Unknown,MP,0,0,1416,1493,1632,0,0
Vidisha,MP,975291,349024,11922,237,11677,65935,0
Aizawl,MZ,315706,239593,75111,300,71337,0,0
Champhai,MZ,74122,55251,5188,11,4745,0,0
Hnahthial,MZ,0,0,1020,3,857,0,0
Khawzawl,MZ,0,0,733,0,688,0,0
Kolasib,MZ,50525,33101,7721,30,7561,0,0
Lawngtlai,MZ,55877,25870,6740,23,6553,0,0
Lunglei,MZ,95129,73298,9842,27,9053,0,0
Mamit,MZ,43678,28873,4854,12,4448,0,0
Saiha,MZ,34626,19984,5469,14,5304,0,0
Saitual,MZ,0,0,471,2,420,0,0
Serchhip,MZ,41932,36047,4210,10,3646,0,0
Dimapur,NL,268405,175502,14684,421,13471,47020,689
Kiphire,NL,13017,8141,258,9,246,1002,1
Kohima,NL,105758,82602,9461,123,9095,33986,202
Longleng,NL,20577,15446,307,2,286,1193,18
Mokokchung,NL,69198,54730,2333,54,2186,3976,62
Mon,NL,70054,48331,1159,14,1124,12278,17
Peren,NL,19956,12514,920,6,897,5717,15
Phek,NL,31241,20746,601,18,568,2779,9
Tuensang,NL,38130,26725,1094,12,1077,4887,3
Wokha,NL,35138,23577,402,11,361,1390,16
Zunheboto,NL,38077,22337,623,15,593,2131,11
Angul,OR,786278,291800,43920,393,43506,172873,0
Balangir,OR,960786,299153,23397,126,23257,87867,0
Balasore,OR,1351099,534318,40787,299,40389,9843,0
Bargarh,OR,829092,283966,31126,335,30762,0,0
Bhadrak,OR,1026493,367945,26480,150,26260,258173,0
Boudh,OR,259325,92297,12634,112,12488,496,0
Cuttack,OR,1434524,702278,94631,857,93404,5720,0
Deogarh,OR,223405,63727,6553,50,6460,682,0
Dhenkanal,OR,738406,282859,19871,243,19598,179477,0
Gajapati,OR,288963,115535,9657,84,9555,715,0
Ganjam,OR,2214981,1698328,33849,485,33342,750442,0
Jagatsinghpur,OR,677675,272499,27920,316,27510,46648,0
Jajpur,OR,1087735,383313,43735,172,43461,53956,0
Jharsuguda,OR,399523,189682,23863,176,23673,1663,0
Kalahandi,OR,921185,304778,24314,210,24082,1458,0
Kandhamal,OR,384009,150737,11537,83,11453,1516,0
Kendrapara,OR,916169,347854,24860,252,24545,382732,0
Kendujhar,OR,1087285,376311,20980,175,20798,474504,0
Khordha,OR,2063646,1502538,175335,1552,171938,0,0
Koraput,OR,860773,399063,19137,78,19044,1401,0
Malkangiri,OR,391790,137925,11667,49,11613,1841,0
Mayurbhanj,OR,1222153,413698,40844,286,40416,3307,0
Nabarangapur,OR,675601,188457,23549,86,23461,162154,0
Nayagarh,OR,593612,222606,23505,212,23261,1104,0
Nuapada,OR,402248,129685,22924,84,22803,310,0
Puri,OR,1078666,523160,45431,459,44903,173340,0
Rayagada,OR,549767,184420,20224,167,19981,578,0
Sambalpur,OR,768989,418110,31651,240,31315,2007,0
State Pool,OR,0,0,32048,0,31587,0,0
Subarnapur,OR,418336,192102,13187,61,13115,0,0
Sundargarh,OR,1122762,490428,61841,594,61167,0,0
Amritsar,PB,1263073,446487,47379,1598,45757,89227,0
Barnala,PB,328464,104197,5950,244,5696,63447,0
Bathinda,PB,623604,202311,41728,1042,40668,118489,0
Faridkot,PB,330654,128653,13927,315,13602,23635,0
Fatehgarh Sahib,PB,354921,135247,8876,335,8538,68436,0
Fazilka,PB,490080,131519,20271,528,19729,63589,0
Ferozepur,PB,476343,128043,14347,504,13832,74880,0
Gurdaspur,PB,862133,415351,22381,801,21576,249039,0
Hoshiarpur,PB,1000636,574716,30822,986,29828,221261,0
Jalandhar,PB,1433553,681370,63396,1496,61864,443735,0
Kapurthala,PB,465285,187476,17852,556,17294,38658,0
Ludhiana,PB,2473646,943401,87608,2106,85484,514691,0
Mansa,PB,372366,89830,15606,380,15226,26878,0
Moga,PB,541556,178908,8675,233,8440,77307,0
Pathankot,PB,424889,196822,18814,419,18373,29112,0
Patiala,PB,1051467,396473,48927,1358,47561,273344,0
Rupnagar,PB,384637,182919,12963,423,12517,97745,0
S.A.S. Nagar,PB,872096,402212,68821,1068,67726,41532,0
Sangrur,PB,730511,218820,15762,875,14884,166332,0
Shahid Bhagat Singh Nagar,PB,392113,172294,11469,388,11080,77715,0
Sri Muktsar Sahib,PB,473193,142901,18784,524,18257,67979,0
Tarn Taran,PB,597303,178839,8043,380,7659,111446,0
Karaikal,PY,111152,57491,16488,250,16150,73142,0
Mahe,PY,34018,25943,5867,47,5744,42415,0
Puducherry,PY,558708,305464,98885,1453,97171,425639,0
Yanam,PY,30079,15489,6773,107,6661,26727,0
Ajmer,RJ,1752308,1042482,37769,410,37352,261215,0
Alwar,RJ,2237787,1029095,59694,307,59387,291879,0
BSF Camp,RJ,0,0,85,0,85,0,0
Banswara,RJ,1024293,525793,10005,104,9901,48781,0
Baran,RJ,763006,297741,11996,61,11934,46168,0
Barmer,RJ,1455732,621465,15563,185,15377,113868,0
Bharatpur,RJ,1351114,590401,19601,260,19341,201441,0
Bhilwara,RJ,1525323,723691,29781,156,29625,148764,0
Bikaner,RJ,1461174,714590,40339,545,39792,278302,0
Bundi,RJ,709316,362835,7967,48,7919,58167,0
Chittorgarh,RJ,978713,482350,19809,139,19670,116002,0
Churu,RJ,1301558,582443,16720,107,16613,131700,0
Dausa,RJ,941513,395584,13351,62,13289,61680,0
Dholpur,RJ,660103,279501,11010,48,10962,121308,0
Dungarpur,RJ,737200,349762,18407,131,18276,121917,0
Evacuees,RJ,0,0,61,0,61,0,0
Ganganagar,RJ,1278952,525137,19354,150,19203,80706,0
Hanumangarh,RJ,1230511,588688,16053,111,15942,82542,0
Italians,RJ,0,0,2,0,2,0,0
Jaipur,RJ,4582410,2189042,187804,1970,185816,968783,0
Jaisalmer,RJ,416014,194163,13639,66,13573,80082,0
Jalore,RJ,987519,393953,10067,72,9995,184172,0
Jhalawar,RJ,922646,363082,13612,187,13425,97163,0
Jhunjhunu,RJ,1449967,787196,14811,158,14653,123433,0
Jodhpur,RJ,2263325,1036743,112412,1103,111308,600959,0
Karauli,RJ,813922,395700,7156,70,7086,64481,0
Kota,RJ,1269245,655588,57053,449,56603,355509,0
Nagaur,RJ,2077555,1016874,17737,177,17560,229822,0
Other State,RJ,0,0,189,39,150,0,0
Pali,RJ,1200554,513058,27324,287,27037,179463,0
Pratapgarh,RJ,655140,345189,7143,63,7080,52208,0
Rajsamand,RJ,691497,299553,17044,169,16875,91975,0
Sawai Madhopur,RJ,756544,347992,10618,61,10557,84683,0
Sikar,RJ,1838263,821713,30618,335,30283,165042,0
Sirohi,RJ,610090,348789,13732,79,13653,84616,0
Tonk,RJ,884688,419023,9498,92,9406,74225,0
Udaipur,RJ,1715072,854773,56405,753,55652,251522,0
East Sikkim,SK,263526,229361,0,0,0,0,0
North Sikkim,SK,33137,27820,0,0,0,0,0
South Sikkim,SK,121481,105432,0,0,0,0,0
Unknown,SK,0,0,31979,396,31063,0,325
West Sikkim,SK,103619,88896,0,0,0,0,0
Adilabad,TG,376263,89337,0,0,0,0,0
Bhadradri Kothagudem,TG,599183,204318,0,0,0,0,0
Hyderabad,TG,3150245,1893217,0,0,0,0,0
Jagtial,TG,580926,190526,0,0,0,0,0
Jangaon,TG,327527,128207,0,0,0,0,0
Jayashankar Bhupalapally,TG,262313,127108,0,0,0,0,0
Jogulamba Gadwal,TG,306919,59886,0,0,0,0,0
Kamareddy,TG,557684,183176,0,0,0,0,0
Karimnagar,TG,657167,384862,0,0,0,0,0
Khammam,TG,856707,333812,0,0,0,0,0
Komaram Bheem,TG,275644,51593,0,0,0,0,0
Mahabubabad,TG,468199,172007,0,0,0,0,0
Mahabubnagar,TG,482547,150640,0,0,0,0,0
Mancherial,TG,480069,170258,0,0,0,0,0
Medak,TG,458648,140778,0,0,0,0,0
Medchal Malkajgiri,TG,2149958,1317832,0,0,0,0,0
Mulugu,TG,186104,76648,0,0,0,0,0
Nagarkurnool,TG,464888,106589,0,0,0,0,0
Nalgonda,TG,891308,254218,0,0,0,0,0
Narayanpet,TG,288388,50219,0,0,0,0,0
Nirmal,TG,378315,130107,0,0,0,0,0
Nizamabad,TG,858574,250862,0,0,0,0,0
Peddapalli,TG,463510,201940,0,0,0,0,0
Rajanna Sircilla,TG,372065,144680,0,0,0,0,0
Ranga Reddy,TG,2348542,1291404,0,0,0,0,0
Sangareddy,TG,851395,299316,0,0,0,0,0
Siddipet,TG,582450,242462,0,0,0,0,0
Suryapet,TG,610724,208278,0,0,0,0,0
Unknown,TG,0,0,671463,3956,663498,0,0
Vikarabad,TG,427669,87989,0,0,0,0,0
Wanaparthy,TG,289412,81870,0,0,0,0,0
Warangal Rural,TG,342881,105289,0,0,0,0,0
Warangal Urban,TG,687410,418947,0,0,0,0,0
Yadadri Bhuvanagiri,TG,463854,223506,0,0,0,0,0
Airport Quarantine,TN,0,0,2113,2,2107,0,0
Ariyalur,TN,475390,157166,16854,261,16548,18285,0
Chengalpattu,TN,1337641,604784,171777,2506,168327,51771,0
Chennai,TN,4532809,2671294,554672,8546,544701,2667777,0
Coimbatore,TN,2717202,1205484,246780,2416,243070,102107,0
Cuddalore,TN,1529591,646400,64085,867,62997,36434,0
Dharmapuri,TN,770955,279901,28425,274,27957,163803,0
Dindigul,TN,1236504,493453,33099,645,32348,27800,0
Erode,TN,1370925,552624,104303,686,102836,66240,0
Kallakurichi,TN,696213,299822,31364,210,31056,28314,0
Kancheepuram,TN,663206,250181,74970,1258,73386,37505,0
Kanyakumari,TN,1100888,450620,62362,1048,61112,79600,0
Karur,TN,626136,289120,24091,356,23523,17190,0
Krishnagiri,TN,1040491,407695,43570,348,43036,14284,0
Madurai,TN,1500331,583138,75215,1172,73853,97279,0
Mayiladuthurai,TN,0,0,23280,316,22878,0,0
Nagapattinam,TN,813495,289588,21074,346,20561,20984,0
Namakkal,TN,987830,397079,52245,498,51253,24758,0
Nilgiris,TN,501986,343811,33566,212,33164,45839,0
Perambalur,TN,326872,136491,12067,243,11790,7981,0
Pudukkottai,TN,827320,314780,30183,416,29627,20835,0
Railway Quarantine,TN,0,0,428,0,428,0,0
Ramanathapuram,TN,660673,280037,20564,357,20158,23389,0
Ranipet,TN,557267,174051,43436,775,42557,20118,0
Salem,TN,1925084,791376,99893,1685,97619,79660,0
Sivaganga,TN,726010,287468,20195,206,19854,25824,0
Tenkasi,TN,736882,233177,27357,484,26834,26338,0
Thanjavur,TN,1224986,486660,75352,972,73874,67445,0
Theni,TN,660187,304832,43571,521,43018,45839,0
Thiruvallur,TN,1425728,563426,119370,1842,117138,67948,0
Thiruvarur,TN,630274,246969,41461,442,40760,67445,0
Thoothukkudi,TN,984706,328797,56304,409,55757,49288,0
Tiruchirappalli,TN,1468456,636356,77534,1059,76038,92586,0
Tirunelveli,TN,815687,275985,49374,432,48812,54208,0
Tirupathur,TN,541496,205219,29301,625,28600,23998,0
Tiruppur,TN,1671392,611015,95405,979,93683,36301,0
Tiruvannamalai,TN,1270049,533376,54968,667,54122,76170,0
Vellore,TN,763735,336366,49864,1131,48564,47936,0
Viluppuram,TN,1085842,444502,45857,356,45382,52064,0
Virudhunagar,TN,1072788,505098,46294,548,45687,28620,0
Dhalai,TR,258334,164654,7037,35,7000,61582,1
Gomati,TR,279099,161408,8134,74,8043,47437,4
Khowai,TR,202148,111955,4559,54,4500,24046,0
North Tripura,TR,283802,190594,7250,34,7199,100931,7
Sipahijala,TR,330932,211903,6360,75,6273,53067,1
South Tripura,TR,303987,209259,10168,53,10104,83030,3
Unokoti,TR,173390,101178,8609,68,8530,34930,4
West Tripura,TR,676784,470030,32351,420,31817,202939,43
Agra,UP,2172907,746386,25765,457,25308,491361,0
Aligarh,UP,1589498,498586,21280,108,21172,482825,0
Ambedkar Nagar,UP,1135268,349925,5040,152,4885,123151,0
Amethi,UP,1015454,375261,9972,143,9828,267014,0
Amroha,UP,871164,265607,16616,203,16412,254038,0
Auraiya,UP,614711,180775,10090,203,9887,107079,0
Ayodhya,UP,1270889,418182,16919,290,16629,376735,0
Azamgarh,UP,2165409,643824,17906,228,17675,12474,0
Baghpat,UP,692255,337171,9132,141,8991,327192,0
Bahraich,UP,1752196,642554,11549,178,11371,308225,0
Ballia,UP,1433455,388341,21610,234,21376,267420,0
Balrampur,UP,995084,438892,7494,138,7354,276237,0
Banda,UP,795903,236840,10992,158,10832,303185,0
Barabanki,UP,1589704,448292,19850,225,19624,147422,0
Bareilly,UP,2221830,749751,44028,377,43650,465209,0
Basti,UP,1189235,399451,11717,330,11385,296570,0
Bhadohi,UP,793094,244431,7720,163,7557,119023,0
Bijnor,UP,1756682,600482,14794,126,14668,312985,0
Budaun,UP,1408673,364360,14941,98,14843,224207,0
Bulandshahr,UP,1647985,646236,20215,243,19972,269090,0
Chandauli,UP,939599,238646,16208,356,15852,211249,0
Chitrakoot,UP,447303,129157,7110,79,7031,234060,0
Deoria,UP,1597034,537293,20223,220,20003,304520,0
Etah,UP,788675,213371,9968,99,9868,263295,0
Etawah,UP,708258,253661,13933,293,13640,297761,0
Farrukhabad,UP,833824,229745,10348,194,10153,231856,0
Fatehpur,UP,1246314,410120,6814,139,6674,82928,0
Firozabad,UP,1005224,328351,8720,135,8585,322656,0
Gautam Buddha Nagar,UP,1799728,974353,63353,467,62876,675396,0
Ghaziabad,UP,2247039,1071908,55673,461,55207,712611,0
Ghazipur,UP,1690195,509886,21641,282,21359,265737,0
Gonda,UP,1604382,555773,12282,266,12016,241234,0
Gorakhpur,UP,2347051,889085,59439,848,58588,480536,0
Hamirpur,UP,561456,185949,5232,102,5130,240382,0
Hapur,UP,658863,254519,12638,217,12421,299725,0
Hardoi,UP,1852490,537647,13755,349,13406,224784,0
Hathras,UP,701190,234481,2920,43,2877,260525,0
Jalaun,UP,819651,251406,11687,202,11482,221719,0
Jaunpur,UP,2189622,667013,22584,235,22349,322824,0
Jhansi,UP,1132511,379818,36556,663,35892,312540,0
Kannauj,UP,755119,257048,9231,114,9115,124019,0
Kanpur Dehat,UP,923661,290898,6197,110,6087,344697,0
Kanpur Nagar,UP,2251558,859280,82933,1905,81024,685820,0
Kasganj,UP,608818,147948,4250,53,4197,271969,0
Kaushambi,UP,760960,218775,4424,70,4353,207064,0
Kushinagar,UP,1632782,458054,15617,228,15389,314772,0
Lakhimpur Kheri,UP,1829019,382178,24410,292,24117,368533,0
Lalitpur,UP,627553,143519,12742,128,12613,21781,0
Lucknow,UP,3106658,1488333,238839,2651,236165,1237583,0
Maharajganj,UP,1283534,372559,12440,140,12300,334716,0
Mahoba,UP,444352,148388,4268,86,4182,142992,0
Mainpuri,UP,860461,219990,10028,182,9846,228496,0
Mathura,UP,1207578,418117,20297,402,19893,198379,0
Mau,UP,1017497,307052,8333,80,8252,281445,0
Meerut,UP,1764744,842448,69480,898,68567,798404,0
Mirzapur,UP,1335308,462157,11088,116,10972,312764,0
Moradabad,UP,1390249,443211,39102,349,38752,400459,0
Muzaffarnagar,UP,1264005,467387,31009,269,30737,161704,0
Pilibhit,UP,978332,256931,11032,193,10838,291538,0
Pratapgarh,UP,1480021,456869,16038,163,15875,100500,0
Prayagraj,UP,2731341,862244,78699,1088,77609,729300,0
Rae Bareli,UP,1436175,344694,17104,343,16761,387408,0
Rampur,UP,989666,250420,11826,148,11676,274288,0
Saharanpur,UP,1638111,576986,32730,420,32309,266387,0
Sambhal,UP,893786,204352,9438,106,9331,309333,0
Sant Kabir Nagar,UP,799506,195105,8159,98,8061,292606,0
Shahjahanpur,UP,1743273,538827,20361,444,19916,437195,0
Shamli,UP,604968,206438,12976,45,12931,246597,0
Shrawasti,UP,515155,181654,4388,35,4353,221566,0
Siddharthnagar,UP,1225133,479630,9373,100,9273,295047,0
Sitapur,UP,2139996,497241,12398,185,12211,289473,0
Sonbhadra,UP,812891,236871,16807,251,16556,306175,0
Sultanpur,UP,1178195,370998,14915,138,14777,309395,0
Unnao,UP,1554190,420513,15011,254,14757,298886,0
Varanasi,UP,2109381,843905,85501,971,84528,595510,0
Almora,UT,378242,215715,12190,196,11378,84443,614
Bageshwar,UT,183447,131244,5764,60,5678,55626,25
Chamoli,UT,273850,191420,12242,62,11972,90390,204
Champawat,UT,183354,119870,7603,53,7358,95068,189
Dehradun,UT,1465464,793803,112363,3521,108137,401496,598
Haridwar,UT,1456257,635360,51498,1019,49096,369542,1376
Nainital,UT,722854,398680,39232,944,38140,204422,134
Pauri Garhwal,UT,431320,229262,17686,315,16668,138878,701
Pithoragarh,UT,318644,183765,10260,181,9962,72686,108
Rudraprayag,UT,170911,113480,8800,106,8535,52378,159
Tehri Garhwal,UT,381493,206527,15835,108,14827,105111,900
Udham Singh Nagar,UT,1277738,518326,37875,761,36315,337292,799
Uttarkashi,UT,234425,160687,12548,74,12129,120026,343
Alipurduar,WB,949775,353666,15589,102,15441,0,0
Bankura,WB,2245147,706177,36313,274,35839,0,0
Birbhum,WB,2152966,846286,41197,286,40727,0,0
Cooch Behar,WB,1444232,421663,29275,97,29060,0,0
Dakshin Dinajpur,WB,1063493,363056,17889,170,17573,0,0
Darjeeling,WB,1324555,664306,57143,539,56326,0,0
Hooghly,WB,3368156,1343978,86300,990,84650,0,0
Howrah,WB,2905925,1254076,98757,1524,96567,0,0
Jalpaiguri,WB,1144138,410719,41982,572,41256,0,0
Jhargram,WB,714456,211586,12135,27,12063,0,0
Kalimpong,WB,180713,124420,7036,54,6950,0,0
Kolkata,WB,4784084,3039486,322541,5152,315146,0,0
Malda,WB,2029144,590497,33406,186,33121,0,0
Murshidabad,WB,3952659,976111,33993,328,33605,0,0
Nadia,WB,2798942,884320,73333,859,72054,0,0
North 24 Parganas,WB,6547702,2720315,329257,4833,323097,0,0
Other State,WB,0,0,66,3,63,0,0
Paschim Bardhaman,WB,1789611,677747,57778,356,57184,0,0
Paschim Medinipur,WB,2758576,877978,53581,507,52820,0,0
Purba Bardhaman,WB,2596246,859528,42005,198,41588,0,0
Purba Medinipur,WB,3560589,1471674,63098,397,62549,0,0
Purulia,WB,1679941,492310,19419,113,19283,0,0
South 24 Parganas,WB,4850898,1832073,100957,1336,98950,0,0
Uttar Dinajpur,WB,1341457,436182,19858,238,19559,0,0
